order_date,cum_revenue
2015-01-01,2713.8500000000004
2015-01-02,5445.75
2015-01-03,8108.15
2015-01-04,9863.6
2015-01-05,11929.55
2015-01-06,14358.5
2015-01-07,16560.7
2015-01-08,19399.05
2015-01-09,21526.4
2015-01-10,23990.350000000002
2015-01-11,25862.65
2015-01-12,27781.7
2015-01-13,29831.300000000003
2015-01-14,32358.700000000004
2015-01-15,34343.50000000001
2015-01-16,36937.65000000001
2015-01-17,39001.75000000001
2015-01-18,40978.600000000006
2015-01-19,43365.75000000001
2015-01-20,45763.65000000001
2015-01-21,47804.20000000001
2015-01-22,50300.90000000001
2015-01-23,52724.600000000006
2015-01-24,55013.850000000006
2015-01-25,56631.40000000001
2015-01-26,58515.80000000001
2015-01-27,61043.85000000001
2015-01-28,63059.85000000001
2015-01-29,65105.150000000016
2015-01-30,67375.45000000001
2015-01-31,69793.30000000002
2015-02-01,72982.50000000001
2015-02-02,75311.10000000002
2015-02-03,77925.90000000002
2015-02-04,80159.80000000002
2015-02-05,82375.60000000002
2015-02-06,84885.55000000002
2015-02-07,87123.20000000001
2015-02-08,89158.20000000001
2015-02-09,91353.55000000002
2015-02-10,93410.05000000002
2015-02-11,95870.05000000002
2015-02-12,98028.85000000002
2015-02-13,100783.35000000002
2015-02-14,103102.50000000001
2015-02-15,105243.75000000001
2015-02-16,107212.55000000002
2015-02-17,109334.45000000001
2015-02-18,111977.30000000002
2015-02-19,114007.55000000002
2015-02-20,116898.70000000001
2015-02-21,119009.70000000001
2015-02-22,120589.65000000001
2015-02-23,122758.20000000001
2015-02-24,124952.75000000001
2015-02-25,127294.05000000002
2015-02-26,129555.35000000002
2015-02-27,132413.30000000002
2015-02-28,134952.90000000002
2015-03-01,136551.45
2015-03-02,138930.5
2015-03-03,141218.4
2015-03-04,143662.69999999998
2015-03-05,146013.34999999998
2015-03-06,148527.3
2015-03-07,150927.75
2015-03-08,153115.9
2015-03-09,155450.44999999998
2015-03-10,157839.15
2015-03-11,160046.85
2015-03-12,162041.75
2015-03-13,164828.4
2015-03-14,166867.85
2015-03-15,168936.45
2015-03-16,171231.5
2015-03-17,174196.8
2015-03-18,176272.19999999998
2015-03-19,178660.8
2015-03-20,181122.05
2015-03-21,183389.44999999998
2015-03-22,184648.69999999998
2015-03-23,186881.24999999997
2015-03-24,189043.54999999996
2015-03-25,190971.29999999996
2015-03-26,193186.79999999996
